"particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)",吧;吧,ba
white; snowy; pure; bright; empty (Kangxi radical 106),白;白,bái
hundred,百;百,bǎi
help; assist; aid,帮助;幫助,bāng zhù
newspaper,报纸;報紙,bào zhǐ
compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks,比;比,bǐ
don't do something; don't | depart; | other; difference; distinguish,别;別,bié
guesthouse; hotel,宾馆;賓館,bīn guǎn
long; length | grow; chief (Kangxi radical 168),长;長,cháng | zhǎng
sing (a song),唱歌;唱歌,chàng gē
go out; occur,出;出,chū
to wear; put on; penetrate,穿;穿,chuān
(mw for number of times of occurrence); nth; order,次;次,cì
from; obey; observe,从;從,cóng
mistake; error; blunder; miss an opportunity,错;錯,cuò
play basketball,打篮球;打籃球,dǎ lán qiú
everyone,大家;大家,dà jiā
arrive (at a place); until (a time),到;到,dào
(complement particle),得;得,de
to wait; rank; equal; etc.,等;等,děng
younger brother,弟弟;弟弟,dì di
first; number 1,第一;第一,dì yī
understand; know,懂;懂,dǒng
correct; a pair; to face; be opposite; to; towards,对;對,duì
room,房间;房間,fáng jiān
extremely; extraordinary; very,非常;非常,fēi cháng
waiter/waitress; server; attendant,服务员;服務員,fú wù yuán
high; tall (Kangxi radical 189),高;高,gāo
to tell; inform,告诉;告訴,gào su
older brother,哥哥;哥哥,gē ge
to give; to grant; (passive particle),给;給,gěi
(public) bus,公共汽车;公共汽車,gōng gòng qì chē
company; corporation,公司;公司,gōng sī
expensive; noble; honorable; Guizhou province (abbreviation),贵;貴,guì
to pass; to cross; go over; (indicates a past experience),过;過,guò
still; yet; in addition; even,还;還,hái
child; children; son or daughter,孩子;孩子,hái zi
tasty,好吃;好吃,hǎo chī
black; dark (Kangxi radical 203); Heilongjiang province (abbreviation),黑;黑,hēi
red; symbol of success; bonus; popular,红;紅,hóng
train station,火车站;火車站,huǒ chē zhàn
airport; airfield,机场;機場,jī chǎng
(chicken) egg,鸡蛋;雞蛋,jī dàn
"(mw for things, clothes, and items)",件;件,jiàn
classroom,教室;教室,jiào shì
older sister,姐姐;姐姐,jiě jie
to introduce; recommend; introduction,介绍;介紹,jiè shào
enter; come in,进;進,jìn
near; close (to),近;近,jìn
then; at once; just; only; with regard to,就;就,jiù
feel; think,觉得;覺得,jué de
coffee,咖啡;咖啡,kā fēi
begin; to start; beginning,开始;開始,kāi shǐ
test; exam; to give or take a test,考试;考試,kǎo shì
possible; maybe,可能;可能,kě néng
can; may; possible; okay,可以;可以,kě yǐ
class; subject; lesson; course,课;課,kè
fast; quick; swift,快;快,kuài
happy,快乐;快樂,kuài lè
tired,累;累,lèi
leave; depart; go away; apart from,离;離,lí
two; 2; both; (unit of weight equal to 50 grams),两;兩,liǎng
zero; remnant,零;零,líng
road; path; journey; route,路;路,lù
trip; journey; tour,旅游;旅游,lǚ yóu
to sell,卖;賣,mài
slow,慢;慢,màn
busy,忙;忙,máng
each; every,每;每,měi
younger sister,妹妹;妹妹,mèi mei
door; opening; gate (Kangxi radical 169),门;門,mén
noodles,面条;面條,miàn tiáo
male,男;男,nán
you (polite),您;您,nín
cow's milk,牛奶;牛奶,niú nǎi
woman; female (Kangxi radical 38),女;女,nǚ
"side, beside",旁边;旁邊,páng biān
to run; to jog,跑步;跑步,pǎo bù
cheap,便宜;便宜,pián yi
ticket; bank note; a vote,票;票,piào
wife,妻子;妻子,qī zi
get out of bed,起床;起床,qǐ chuáng
one thousand,千;千,qiān
pencil,铅笔;鉛筆,qiān bǐ
clear; fine (as of weather),晴;晴,qíng
last year,去年;去年,qù nián
ask; let; yield,让;讓,ràng
sun; day; date; time (Kangxi radical 72),日;日,rì
go to work; be on duty,上班;上班,shàng bān
health; (human) body,身体;身體,shēn tǐ
get sick; fall ill,生病;生病,shēng bìng
birthday,生日;生日,shēng rì
time; period,时间;時間,shí jiān
matter; affair; thing; business,事情;事情,shì qing
wristwatch,手表;手表,shǒu biǎo
mobile (cell) phone,手机;手機,shǒu jī
to talk; speak,说话;說話,shuō huà
deliver; to carry; to give; send,送;送,sòng
although; even though,虽然;雖然,suī rán
but; however,但是;但是,dàn shì
it,它;它,tā
to play football/soccer,踢足球;踢足球,tī zú qiú
topic; subject; question on a test or assignment,题;題,tí
to dance,跳舞;跳舞,tiào wǔ
outer; outside; in addition; foreign,外;外,wài
to finish; be over; complete,完;完,wán
to play; have a good time; visit; enjoy,玩;玩,wán
evening; night,晚上;晚上,wǎn shang
to go (in a direction); towards; in the past,往;往,wǎng
why?; for what reason?,为什么;為什麼,wèi shén me
ask; inquire,问;問,wèn
question; problem,问题;問題,wèn tí
watermelon,西瓜;西瓜,xī guā
to hope; wish for; to desire,希望;希望,xī wàng
to wash; bathe,洗;洗,xǐ
hour,小时;小時,xiǎo shí
to laugh; to smile,笑;笑,xiào
new; Xinjiang autonomous region (abbreviation),新;新,xīn
surname; family name,姓;姓,xìng
to rest; take a break,休息;休息,xiū xi
snow,雪;雪,xuě
color,颜色;顏色,yán sè
eye,眼睛;眼睛,yǎn jing
mutton; lamb,羊肉;羊肉,yáng ròu
medicine; drug; cure; chemical,药;藥,yào
to want; to need; will/shall; important,要;要,yào
also; too,也;也,yě
together; in the same place,一起;一起,yì qǐ
a little bit/while; one time; once,一下;一下,yí xià
already,已经;已經,yǐ jing
meaning; idea; opinion,意思;意思,yì si
because,因为;因為,yīn wèi
so; therefore; as a result,所以;所以,suǒ yǐ
cloudy (weather); yin (the negative principle of Yin and Yang); secret; the moon; negative; shade,阴;陰,yīn
to swim,游泳;游泳,yóu yǒng
the right (as opposed to left) side,右边;右邊,yòu bian
fish (Kangxi radical 195),鱼;魚,yú
far; distant; remote,远;遠,yuǎn
(physical) exercise; movement; sports; campaign,运动;運動,yùn dòng
again; once more,再;再,zài
(early) morning,早上;早上,zǎo shang
husband; man,丈夫;丈夫,zhàng fu
try to find; look for; seek; to give change,找;找,zhǎo
"particle attached after verb to indicate action in progress, like -ing ending",着;著,zhe
real; true; genuine,真;真,zhēn
in the process of (doing something); currently,正在;正在,zhèng zài
know; be aware of,知道;知道,zhī dao
prepare; get ready,准备;准備,zhǔn bèi
to walk; to go; to move (Kangxi radical 156),走;走,zǒu
the most; -est; (indicator for superlative),最;最,zuì
the left side; the left,左边;左邊,zuǒ bian
