啊,"ah; (particle showing elation, doubt, puzzled surprise, or approval)",a,[sound:啊.mp3]
自己,oneself; self,zì jǐ,[sound:自己.mp3]
还,still; yet; in addition; even,hái,[sound:还.mp3]
又,(once) again; also; both (Kangxi radical 29),yòu,[sound:又.mp3]
过,to pass; to cross; go over; (indicates a past experience),guò,[sound:过.mp3]
被,by (indicates passive voice sentences); a quilt/blanket,bèi,[sound:被.mp3]
把,(mw for things with handles); (pretransitive particle); to hold,bǎ,[sound:把.mp3]
为,for; because of; to; for the sake of,wèi,[sound:为.mp3]
还是,or; still; nevertheless; had better,hái shi,[sound:还是.mp3]
用,to use (Kangxi radical 101),yòng,[sound:用.mp3]
元,Chinese monetary unit; dollar; first; principal,yuán,[sound:元.mp3]
地,earth; ground | (adverbial particle),dì | de,[sound:地.mp3]
才,ability; talent; just now; not until,cái,[sound:才.mp3]
如果,if; in the event that,rú guǒ,[sound:如果.mp3]
只,but; only; merely; just | (mw for birds and certain animals),zhī | zhǐ,[sound:只.mp3]
跟,to follow; go with; heel,gēn,[sound:跟.mp3]
更,more; even more,gèng,[sound:更.mp3]
种,type; breed; race; seed,zhǒng,[sound:种.mp3]
像,be like; resemble; appearance; appear,xiàng,[sound:像.mp3]
老,old; aged; tough; often (Kangxi radical 125),lǎo,[sound:老.mp3]
一定,surely; certainly; necessarily; definite,yí dìng,[sound:一定.mp3]
别人,other people; others,bié ren,[sound:别人.mp3]
其实,actually; in fact,qí shí,[sound:其实.mp3]
长,long; length | grow; chief (Kangxi radical 168),cháng | zhǎng,[sound:长.mp3]
带,band; belt; ribbon; carry; bring; take along; bring up (kids),dài,[sound:带.mp3]
世界,world,shì jiè,[sound:世界.mp3]
发,send out; to issue; to show (one's feelings) | hair,fā | fà,[sound:发.mp3]
起来,(beginning or continuing an action); to rise; get up (from bed),qǐ lai,[sound:起来.mp3]
一直,always; all along; straight (in a straight line),yì zhí,[sound:一直.mp3]
需要,to need; to want; to demand,xū yào,[sound:需要.mp3]
发现,discover; to find,fā xiàn,[sound:发现.mp3]
位,position; location; (polite mw for people),wèi,[sound:位.mp3]
最后,last; final; ultimately,zuì hòu,[sound:最后.mp3]
放,put; to place; to release; to free,fàng,[sound:放.mp3]
终于,at last; in the end; finally,zhōng yú,[sound:终于.mp3]
张,(mw for flat objects); to spread out; (common surname),zhāng,[sound:张.mp3]
一样,the same; alike; equal to,yí yàng,[sound:一样.mp3]
应该,should; ought to; must,yīng gāi,[sound:应该.mp3]
然后,then; afterwards,rán hòu,[sound:然后.mp3]
分,divide; part; minute; cent | component; share; ingredient,fēn | fèn,[sound:分.mp3]
只有,only,zhǐ yǒu,[sound:只有.mp3]
先,first; early; before,xiān,[sound:先.mp3]
越,even more; the more; exceed,yuè,[sound:越.mp3]
条,strip; (mw for long thin objects); item,tiáo,[sound:条.mp3]
拿,carry in your hand; seize; to catch,ná,[sound:拿.mp3]
包,"to cover; to wrap; to hold; include; (mw for containers, packages, etc.)",bāo,[sound:包.mp3]
花,flower; blossom; spend money; cost,huā,[sound:花.mp3]
可爱,cute; lovely,kě ài,[sound:可爱.mp3]
双,two; double; (mw for pairs),shuāng,[sound:双.mp3]
哭,cry; weep,kū,[sound:哭.mp3]
为了,in order to; for the sake of; for the purpose of,wèi le,[sound:为了.mp3]
突然,sudden; abrupt,tū rán,[sound:突然.mp3]
重要,important; significant; major,zhòng yào,[sound:重要.mp3]
记得,remember,jì de,[sound:记得.mp3]
努力,to work hard; to strive,nǔ lì,[sound:努力.mp3]
必须,must; have to,bì xū,[sound:必须.mp3]
过去,in the past; formerly,guò qù,[sound:过去.mp3]
最近,recently; lately; these days,zuì jìn,[sound:最近.mp3]
总是,always; eventually,zǒng shì,[sound:总是.mp3]
地方,"place; space; room; part, (fāng: local; regional)",dì fang,[sound:地方.mp3]
游戏,game; play; recreation,yóu xì,[sound:游戏.mp3]
城市,city or town,chéng shì,[sound:城市.mp3]
换,change; to exchange; to barter; to trade,huàn,[sound:换.mp3]
选择,select; to pick; choose,xuǎn zé,[sound:选择.mp3]
脸,face,liǎn,[sound:脸.mp3]
向,direction; towards; to turn; to face,xiàng,[sound:向.mp3]
参加,participate; join; take part in,cān jiā,[sound:参加.mp3]
相信,believe (sb.); be convinced of,xiāng xìn,[sound:相信.mp3]
短,"short (in length, duration, or height); lack",duǎn,[sound:短.mp3]
容易,easy; likely; liable (to),róng yì,[sound:容易.mp3]
机会,opportunity; chance; occasion,jī huì,[sound:机会.mp3]
讲,to talk; to lecture; to explain; a speech,jiǎng,[sound:讲.mp3]
米,rice; meter (Kangxi radical 119),mǐ,[sound:米.mp3]
难,difficult,nán,[sound:难.mp3]
站,stand; a station; be on one's feet; service center,zhàn,[sound:站.mp3]
口,mouth (Kangxi radical 30),kǒu,[sound:口.mp3]
简单,simple; not complicated,jiǎn dān,[sound:简单.mp3]
照片,picture; photograph,zhào piàn,[sound:照片.mp3]
注意,pay attention to; take notice of; be careful,zhù yì,[sound:注意.mp3]
健康,health; healthy,jiàn kāng,[sound:健康.mp3]
饿,hungry,è,[sound:饿.mp3]
完成,to complete; accomplish; to fulfill,wán chéng,[sound:完成.mp3]
以前,before; formerly; previous,yǐ qián,[sound:以前.mp3]
特别,special; especially; particular,tè bié,[sound:特别.mp3]
而且,moreover; in addition; as well as,ér qiě,[sound:而且.mp3]
或者,or; possible; maybe; perhaps,huò zhě,[sound:或者.mp3]
习惯,habit; be accustomed to; usual practice,xí guàn,[sound:习惯.mp3]
秋,autumn; fall; harvest time,qiū,[sound:秋.mp3]
比较,compare; contrast; relatively,bǐ jiào,[sound:比较.mp3]
瘦,thin; tight; lean,shòu,[sound:瘦.mp3]
半,half; semi-; incomplete,bàn,[sound:半.mp3]
忘记,forget,wàng jì,[sound:忘记.mp3]
马,horse (Kangxi radical 187),mǎ,[sound:马.mp3]
疼,ache; sore; (it) hurts; love fondly,téng,[sound:疼.mp3]
决定,decide; resolve,jué dìng,[sound:决定.mp3]
故事,story; tale,gù shi,[sound:故事.mp3]
差,differ from; fall short of; poor; inferior,chà,[sound:差.mp3]
接,connect; to meet; to pick up (somebody); to receive,jiē,[sound:接.mp3]
西,West (Kangxi radical 146),xī,[sound:西.mp3]
班,team; class; squad,bān,[sound:班.mp3]
国家,country; state; nation,guó jiā,[sound:国家.mp3]
其他,other; else,qí tā,[sound:其他.mp3]
明白,clear; obvious; understand; explicit,míng bai,[sound:明白.mp3]
结婚,get married,jié hūn,[sound:结婚.mp3]
音乐,music,yīn yuè,[sound:音乐.mp3]
腿,leg,tuǐ,[sound:腿.mp3]
脚,foot (body part),jiǎo,[sound:脚.mp3]
遇到,to meet; run into; come across,yù dào,[sound:遇到.mp3]
离开,leave; depart,lí kāi,[sound:离开.mp3]
画,draw; picture; painting,huà,[sound:画.mp3]
春,spring (season); joyful,chūn,[sound:春.mp3]
欢迎,to welcome; greet,huān yíng,[sound:欢迎.mp3]
楼,story; floor; (multi-story) building,lóu,[sound:楼.mp3]
愿意,be willing; want to; be ready,yuàn yì,[sound:愿意.mp3]
冬,winter,dōng,[sound:冬.mp3]
久,long (time),jiǔ,[sound:久.mp3]
鸟,bird (Kangxi radical 196),niǎo,[sound:鸟.mp3]
除了,besides; except for; aside from; in addition to,chú le,[sound:除了.mp3]
结束,to end; to finish; conclude,jié shù,[sound:结束.mp3]
一般,general; ordinary; common; same,yì bān,[sound:一般.mp3]
了解,comprehend; understand; know; find out,liǎo jiě,[sound:了解.mp3]
段,paragraph; segment; section,duàn,[sound:段.mp3]
要求,to request; to demand; requirement,yāo qiú,[sound:要求.mp3]
认为,believe; think that,rèn wéi,[sound:认为.mp3]
经常,often; frequently; daily,jīng cháng,[sound:经常.mp3]
试,to try; to test; examination,shì,[sound:试.mp3]
草,grass; straw; draft (of a document),cǎo,[sound:草.mp3]
马上,at once; immediately; right away,mǎ shàng,[sound:马上.mp3]
胖,fat; plump,pàng,[sound:胖.mp3]
新闻,news,xīn wén,[sound:新闻.mp3]
影响,influence; affect; effect,yǐng xiǎng,[sound:影响.mp3]
头发,hair (on the head),tóu fa,[sound:头发.mp3]
礼物,gift; present,lǐ wù,[sound:礼物.mp3]
文化,culture; civilization,wén huà,[sound:文化.mp3]
感冒,catch cold; (common) cold,gǎn mào,[sound:感冒.mp3]
声音,sound; voice,shēng yīn,[sound:声音.mp3]
教,teach; instruct | religion; teaching,jiāo | jiào,[sound:教.mp3]
关系,relation; to concern,guān xi,[sound:关系.mp3]
当然,of course; naturally,dāng rán,[sound:当然.mp3]
坏,bad; broken,huài,[sound:坏.mp3]
嘴,mouth,zuǐ,[sound:嘴.mp3]
小心,be careful,xiǎo xīn,[sound:小心.mp3]
解决,settle (a dispute); resolve; solve,jiě jué,[sound:解决.mp3]
经过,to pass; go through; as a result of,jīng guò,[sound:经过.mp3]
年轻,young,nián qīng,[sound:年轻.mp3]
东,East,dōng,[sound:东.mp3]
蓝,blue,lán,[sound:蓝.mp3]
办法,method; way (of doing something),bàn fǎ,[sound:办法.mp3]
清楚,clear; distinct; be clear about,qīng chu,[sound:清楚.mp3]
太阳,the sun,tài yáng,[sound:太阳.mp3]
害怕,afraid of; to fear,hài pà,[sound:害怕.mp3]
碗,bowl; cup,wǎn,[sound:碗.mp3]
后来,afterwards; after; later,hòu lái,[sound:后来.mp3]
难过,be grieved; be sad; have a hard time,nán guò,[sound:难过.mp3]
节目,program; item (on a program),jié mù,[sound:节目.mp3]
多么,"how (wonderful, etc.); what (a great idea)",duō me,[sound:多么.mp3]
历史,history,lì shǐ,[sound:历史.mp3]
环境,environment; surroundings,huán jìng,[sound:环境.mp3]
舒服,comfortable; feeling well,shū fu,[sound:舒服.mp3]
认真,serious; earnest; take seriously,rèn zhēn,[sound:认真.mp3]
树,tree,shù,[sound:树.mp3]
帮忙,to help,bāng máng,[sound:帮忙.mp3]
关心,concerned about/with,guān xīn,[sound:关心.mp3]
同事,colleague; co-worker,tóng shì,[sound:同事.mp3]
一边,one side; on the one hand; at the same time,yì biān,[sound:一边.mp3]
刚才,just now; a moment ago,gāng cái,[sound:刚才.mp3]
极,an extreme; pole; very,jí,[sound:极.mp3]
蛋糕,cake,dàn gāo,[sound:蛋糕.mp3]
聪明,intelligent; clever; bright; smart,cōng ming,[sound:聪明.mp3]
银行,bank,yín háng,[sound:银行.mp3]
关于,about; regarding; concerning,guān yú,[sound:关于.mp3]
地铁,subway,dì tiě,[sound:地铁.mp3]
层,"(mw for layers, floors of buildings)",céng,[sound:层.mp3]
回答,to reply; to answer,huí dá,[sound:回答.mp3]
灯,lamp; light,dēng,[sound:灯.mp3]
比赛,(sports) match; competition,bǐ sài,[sound:比赛.mp3]
主要,main; principal; major,zhǔ yào,[sound:主要.mp3]
关,to close; shut; concern; relationship; turn off; mountain pass,guān,[sound:关.mp3]
生气,angry; mad,shēng qì,[sound:生气.mp3]
南,South,nán,[sound:南.mp3]
作业,school assignment; homework; task,zuò yè,[sound:作业.mp3]
同意,agree; to consent; approve,tóng yì,[sound:同意.mp3]
辆,(mw for vehicles),liàng,[sound:辆.mp3]
上网,to surf the web; to go online,shàng wǎng,[sound:上网.mp3]
甜,sweet,tián,[sound:甜.mp3]
矮,short; low,ǎi,[sound:矮.mp3]
绿,green,lǜ,[sound:绿.mp3]
洗澡,bathe; take a bath or shower; bath or shower,xǐ zǎo,[sound:洗澡.mp3]
聊天,to chat,liáo tiān,[sound:聊天.mp3]
照顾,take care of; look after; give consideration,zhào gu,[sound:照顾.mp3]
安静,quiet; peaceful; calm,ān jìng,[sound:安静.mp3]
方便,convenient,fāng biàn,[sound:方便.mp3]
奶奶,grandma; (informal) paternal grandmother,nǎi nai,[sound:奶奶.mp3]
船,a boat; vessel; ship,chuán,[sound:船.mp3]
新鲜,"fresh (experience, food, etc.); new; novel",xīn xiān,[sound:新鲜.mp3]
动物,animal,dòng wù,[sound:动物.mp3]
借,lend; borrow; excuse,jiè,[sound:借.mp3]
干净,clean; neat and tidy,gān jìng,[sound:干净.mp3]
饱,eat until full; satisfied,bǎo,[sound:饱.mp3]
数学,mathematics,shù xué,[sound:数学.mp3]
热情,cordial; warm; enthusiastic,rè qíng,[sound:热情.mp3]
提高,to raise; heighten; improve,tí gāo,[sound:提高.mp3]
司机,driver; chauffeur,sī jī,[sound:司机.mp3]
变化,change,biàn huà,[sound:变化.mp3]
奇怪,strange; odd,qí guài,[sound:奇怪.mp3]
办公室,office,bàn gōng shì,[sound:办公室.mp3]
打算,to plan; intend,dǎ suàn,[sound:打算.mp3]
几乎,almost,jī hū,[sound:几乎.mp3]
水平,level; standard; horizontal,shuǐ píng,[sound:水平.mp3]
旧,old; past; used,jiù,[sound:旧.mp3]
夏,summer,xià,[sound:夏.mp3]
月亮,the moon,yuè liang,[sound:月亮.mp3]
骑,to ride (an animal or bike); to sit astride,qí,[sound:骑.mp3]
中间,center; middle; between; among,zhōng jiān,[sound:中间.mp3]
附近,(in the) vicinity; nearby; neighboring,fù jìn,[sound:附近.mp3]
根据,according to; based on; basis,gēn jù,[sound:根据.mp3]
节日,holiday; festival,jié rì,[sound:节日.mp3]
成绩,achievement; success; results (of work or study),chéng jì,[sound:成绩.mp3]
见面,meet/see somebody; meeting,jiàn miàn,[sound:见面.mp3]
香蕉,banana,xiāng jiāo,[sound:香蕉.mp3]
复习,revise; to review,fù xí,[sound:复习.mp3]
阿姨,auntie; step-mother; mother's younger sister,ā yí,[sound:阿姨.mp3]
迟到,arrive late,chí dào,[sound:迟到.mp3]
放心,relax; feel relieved; rest assured,fàng xīn,[sound:放心.mp3]
中文,Chinese (language),zhōng wén,[sound:中文.mp3]
爷爷,(informal) father's father; paternal grandfather,yé ye,[sound:爷爷.mp3]
耳朵,ear,ěr duo,[sound:耳朵.mp3]
裤子,pants; trousers,kù zi,[sound:裤子.mp3]
满意,satisfied; pleased,mǎn yì,[sound:满意.mp3]
一会儿,a while; a moment,yí huì r,[sound:一会儿.mp3]
面包,bread,miàn bāo,[sound:面包.mp3]
检查,to check; examine; inspect,jiǎn chá,[sound:检查.mp3]
鼻子,nose,bí zi,[sound:鼻子.mp3]
帽子,hat; cap,mào zi,[sound:帽子.mp3]
季节,season; time; period,jì jié,[sound:季节.mp3]
会议,meeting; conference,huì yì,[sound:会议.mp3]
啤酒,beer,pí jiǔ,[sound:啤酒.mp3]
叔叔,(informal) father's younger brother; uncle,shū shu,[sound:叔叔.mp3]
体育,physical training; sports,tǐ yù,[sound:体育.mp3]
角,horn; angle; unit of money (1/10 yuan); corner (Kangxi radical 148) | role (theater),jiǎo | jué,[sound:角.mp3]
锻炼,to exercise; work out; toughen; to temper,duàn liàn,[sound:锻炼.mp3]
饮料,beverage; drink,yǐn liào,[sound:饮料.mp3]
公园,public park,gōng yuán,[sound:公园.mp3]
图书馆,library,tú shū guǎn,[sound:图书馆.mp3]
冰箱,refrigerator,bīng xiāng,[sound:冰箱.mp3]
搬,to move; to transport,bān,[sound:搬.mp3]
衬衫,shirt; blouse,chèn shān,[sound:衬衫.mp3]
熊猫,panda,xióng māo,[sound:熊猫.mp3]
刻,quarter (hour); (mw for short time intervals); carve; to cut,kè,[sound:刻.mp3]
伞,umbrella; parasol,sǎn,[sound:伞.mp3]
笔记本,notebook,bǐ jì běn,[sound:笔记本.mp3]
自行车,bike; bicycle,zì xíng chē,[sound:自行车.mp3]
电梯,elevator,diàn tī,[sound:电梯.mp3]
空调,air conditioning,kōng tiáo,[sound:空调.mp3]
经理,manager; director,jīng lǐ,[sound:经理.mp3]
裙子,skirt,qún zi,[sound:裙子.mp3]
练习,practice; exercise,liàn xí,[sound:练习.mp3]
着急,to worry; feel anxious,zháo jí,[sound:着急.mp3]
爱好,hobby; fond of; to like; interest,ài hào,[sound:爱好.mp3]
筷子,chopsticks,kuài zi,[sound:筷子.mp3]
信用卡,credit card,xìn yòng kǎ,[sound:信用卡.mp3]
校长,"principal (of school, college or university); president; headmaster",xiào zhǎng,[sound:校长.mp3]
留学,study abroad,liú xué,[sound:留学.mp3]
不但,not only,bú dàn,[sound:不但.mp3]
感兴趣,be interested in,gǎn xìng qù,[sound:感兴趣.mp3]
北方,north; the northern part of the country,běi fāng,[sound:北方.mp3]
客人,guest; customer,kè rén,[sound:客人.mp3]
刷牙,brush one's teeth,shuā yá,[sound:刷牙.mp3]
地图,map,dì tú,[sound:地图.mp3]
邻居,neighbor,lín jū,[sound:邻居.mp3]
街道,street,jiē dào,[sound:街道.mp3]
瓶子,bottle,píng zi,[sound:瓶子.mp3]
一共,altogether; in total,yí gòng,[sound:一共.mp3]
请假,to ask for time off,qǐng jià,[sound:请假.mp3]
公斤,kilogram,gōng jīn,[sound:公斤.mp3]
打扫,to clean; to sweep,dǎ sǎo,[sound:打扫.mp3]
皮鞋,leather shoes,pí xié,[sound:皮鞋.mp3]
渴,thirsty,kě,[sound:渴.mp3]
起飞,take off (in an airplane); liftoff,qǐ fēi,[sound:起飞.mp3]
有名,famous; well-known,yǒu míng,[sound:有名.mp3]
句子,sentence,jù zi,[sound:句子.mp3]
爬山,mountain climbing,pá shān,[sound:爬山.mp3]
护照,passport,hù zhào,[sound:护照.mp3]
盘子,plate; dish; tray,pán zi,[sound:盘子.mp3]
黑板,blackboard,hēi bǎn,[sound:黑板.mp3]
黄河,Yellow River,huáng hé,[sound:黄河.mp3]
菜单,menu,cài dān,[sound:菜单.mp3]
洗手间,toilet; lavatory; washroom,xǐ shǒu jiān,[sound:洗手间.mp3]
个子,height; stature; build,gè zi,[sound:个子.mp3]
行李箱,trunk; suitcase,xíng lǐ xiāng,[sound:行李箱.mp3]
年级,grade; year (in school),nián jí,[sound:年级.mp3]
照相机,camera,zhào xiàng jī,[sound:照相机.mp3]
刮风,windy; to blow (wind),guā fēng,[sound:刮风.mp3]
词典,dictionary,cí diǎn,[sound:词典.mp3]
电子邮件,email,diàn zǐ yóu jiàn,[sound:电子邮件.mp3]
超市,supermarket,chāo shì,[sound:超市.mp3]
担心,to worry; feel anxious,dān xīn,[sound:担心.mp3]
