系,be; relate to; system; fasten; department; faculty; connect | to tie,xì | jì,[sound:系.mp3]
推荐,recommend; recommendation,tuī jiàn,[sound:推荐.mp3]
哈,exhale; sip; (sound of laughter),hā,[sound:哈.mp3]
人生,human life,rén shēng,[sound:人生.mp3]
搞,do; make; be engaged in,gǎo,[sound:搞.mp3]
拍,"to clap; to pat; to shoot (pictures, a film); send (a telegram)",pāi,[sound:拍.mp3]
期待,look forward to; await; expectation,qī dài,[sound:期待.mp3]
片,(mw for pieces of things); a slice; a flake (Kangxi radical 91) | film; photo,piàn | piān,[sound:片.mp3]
靠,depend on; lean on; near; to trust,kào,[sound:靠.mp3]
所,"place; that which; (mw for houses, buildings)",suǒ,[sound:所.mp3]
装,to load; dress up; pretend; clothing; to install,zhuāng,[sound:装.mp3]
翻,to turn over; capsize; translate,fān,[sound:翻.mp3]
滴,to drip; drop; (mw for drops of liquid),dī,[sound:滴.mp3]
居然,unexpectedly; to one's surprise; go so far as to,jū rán,[sound:居然.mp3]
套,cover; (mw for sets of things); tie together,tào,[sound:套.mp3]
哎,hey!; (interjection of surprise or dissatisfaction),āi,[sound:哎.mp3]
傻,foolish; fool,shǎ,[sound:傻.mp3]
参与,participate (in sth.); attach oneself to,cān yù,[sound:参与.mp3]
首,head; chief; first; (mw for poems and songs) (Kangxi radical 185),shǒu,[sound:首.mp3]
宝贝,treasure; precious things; darling; baby,bǎo bèi,[sound:宝贝.mp3]
夜,night; darkness,yè,[sound:夜.mp3]
个人,individual; personal; oneself,gè rén,[sound:个人.mp3]
发表,publish; to issue (a statement); announce,fā biǎo,[sound:发表.mp3]
正,straight; currently; correct; just (right); pure; precisely,zhèng,[sound:正.mp3]
如何,how; what; what way,rú hé,[sound:如何.mp3]
抢,fight over; vie for; grab; rush | bump against,qiǎng | qiāng,[sound:抢.mp3]
亲爱,"beloved; Dear ... (a way of starting a letter lovers, intimate friends or close relatives)",qīn ài,[sound:亲爱.mp3]
曾经,once; (refers to something that happened previously),céng jīng,[sound:曾经.mp3]
未来,future,wèi lái,[sound:未来.mp3]
绝对,absolute; definite,jué duì,[sound:绝对.mp3]
祝福,blessings; wish well,zhù fú,[sound:祝福.mp3]
温暖,warm,wēn nuǎn,[sound:温暖.mp3]
克,gram; overcome; restrain,kè,[sound:克.mp3]
某,a certain; some,mǒu,[sound:某.mp3]
亮,bright; light; shiny,liàng,[sound:亮.mp3]
时尚,fashion; fad,shí shàng,[sound:时尚.mp3]
日子,days; date; time; life,rì zi,[sound:日子.mp3]
唉,(an exclamation indicating resignation); oh well; oh; mm,ài,[sound:唉.mp3]
设计,plan; design,shè jì,[sound:设计.mp3]
团,round; ball; group; unite; dumpling; (mw for ball-like things),tuán,[sound:团.mp3]
珍惜,to treasure; cherish; to value,zhēn xī,[sound:珍惜.mp3]
项,nape (of the neck); sum (of money); mw item,xiàng,[sound:项.mp3]
颗,"(mw for hearts and small, round things like seeds, grains, beans, etc.)",kē,[sound:颗.mp3]
体验,experience for oneself; to personally experience (usually a kind of life),tǐ yàn,[sound:体验.mp3]
杀,to kill; to murder,shā,[sound:杀.mp3]
果然,really; sure enough; as expected,guǒ rán,[sound:果然.mp3]
失去,"to lose (time, an opportunity, work, etc.)",shī qù,[sound:失去.mp3]
梦想,dream of; wishful thinking,mèng xiǎng,[sound:梦想.mp3]
淡,diluted; weak; thin,dàn,[sound:淡.mp3]
老婆,(informal) wife,lǎo pó,[sound:老婆.mp3]
猪,pig,zhū,[sound:猪.mp3]
痛苦,pain; suffering; agony,tòng kǔ,[sound:痛苦.mp3]
完美,perfect,wán měi,[sound:完美.mp3]
非,non-; un-; not be; wrongdoing; simply must (Kangxi radical 175),fēi,[sound:非.mp3]
赶紧,at once; hurriedly; lose no time,gǎn jǐn,[sound:赶紧.mp3]
锅,pot; pan; boiler,guō,[sound:锅.mp3]
便,plain; convenient; excretion; formal equivalent to 就 | cheap,biàn | pián,[sound:便.mp3]
群,"crowd; group; (mw for groups, flocks, or swarms)",qún,[sound:群.mp3]
享受,enjoy,xiǎng shòu,[sound:享受.mp3]
经典,classics; scriptures,jīng diǎn,[sound:经典.mp3]
对方,counterpart; the other party involved,duì fāng,[sound:对方.mp3]
要不,otherwise; or else; how about,yào bù,[sound:要不.mp3]
等待,to wait (for); expect,děng dài,[sound:等待.mp3]
平安,safe and sound,píng ān,[sound:平安.mp3]
