啊,"ah; (particle showing elation, doubt, puzzled surprise, or approval)",a
自己,oneself; self,zì jǐ
还,still; yet; in addition; even,hái
又,(once) again; also; both (Kangxi radical 29),yòu
过,to pass; to cross; go over; (indicates a past experience),guò
被,by (indicates passive voice sentences); a quilt/blanket,bèi
把,(mw for things with handles); (pretransitive particle); to hold,bǎ
为,for; because of; to; for the sake of,wèi
还是,or; still; nevertheless; had better,hái shi
用,to use (Kangxi radical 101),yòng
元,Chinese monetary unit; dollar; first; principal,yuán
地,earth; ground | (adverbial particle),dì | de
才,ability; talent; just now; not until,cái
如果,if; in the event that,rú guǒ
只,but; only; merely; just | (mw for birds and certain animals),zhī | zhǐ
跟,to follow; go with; heel,gēn
更,more; even more,gèng
种,type; breed; race; seed,zhǒng
像,be like; resemble; appearance; appear,xiàng
老,old; aged; tough; often (Kangxi radical 125),lǎo
一定,surely; certainly; necessarily; definite,yí dìng
别人,other people; others,bié ren
其实,actually; in fact,qí shí
长,long; length | grow; chief (Kangxi radical 168),cháng | zhǎng
带,band; belt; ribbon; carry; bring; take along; bring up (kids),dài
世界,world,shì jiè
发,send out; to issue; to show (one's feelings) | hair,fā | fà
起来,(beginning or continuing an action); to rise; get up (from bed),qǐ lai
一直,always; all along; straight (in a straight line),yì zhí
需要,to need; to want; to demand,xū yào
发现,discover; to find,fā xiàn
位,position; location; (polite mw for people),wèi
最后,last; final; ultimately,zuì hòu
放,put; to place; to release; to free,fàng
终于,at last; in the end; finally,zhōng yú
张,(mw for flat objects); to spread out; (common surname),zhāng
一样,the same; alike; equal to,yí yàng
应该,should; ought to; must,yīng gāi
然后,then; afterwards,rán hòu
分,divide; part; minute; cent | component; share; ingredient,fēn | fèn
只有,only,zhǐ yǒu
先,first; early; before,xiān
越,even more; the more; exceed,yuè
条,strip; (mw for long thin objects); item,tiáo
拿,carry in your hand; seize; to catch,ná
包,"to cover; to wrap; to hold; include; (mw for containers, packages, etc.)",bāo
花,flower; blossom; spend money; cost,huā
可爱,cute; lovely,kě ài
双,two; double; (mw for pairs),shuāng
哭,cry; weep,kū
为了,in order to; for the sake of; for the purpose of,wèi le
突然,sudden; abrupt,tū rán
重要,important; significant; major,zhòng yào
记得,remember,jì de
努力,to work hard; to strive,nǔ lì
必须,must; have to,bì xū
过去,in the past; formerly,guò qù
最近,recently; lately; these days,zuì jìn
总是,always; eventually,zǒng shì
地方,"place; space; room; part, (fāng: local; regional)",dì fang
游戏,game; play; recreation,yóu xì
城市,city or town,chéng shì
换,change; to exchange; to barter; to trade,huàn
选择,select; to pick; choose,xuǎn zé
脸,face,liǎn
向,direction; towards; to turn; to face,xiàng
参加,participate; join; take part in,cān jiā
相信,believe (sb.); be convinced of,xiāng xìn
短,"short (in length, duration, or height); lack",duǎn
容易,easy; likely; liable (to),róng yì
机会,opportunity; chance; occasion,jī huì
讲,to talk; to lecture; to explain; a speech,jiǎng
米,rice; meter (Kangxi radical 119),mǐ
难,difficult,nán
站,stand; a station; be on one's feet; service center,zhàn
口,mouth (Kangxi radical 30),kǒu
简单,simple; not complicated,jiǎn dān
照片,picture; photograph,zhào piàn
注意,pay attention to; take notice of; be careful,zhù yì
健康,health; healthy,jiàn kāng
饿,hungry,è
完成,to complete; accomplish; to fulfill,wán chéng
以前,before; formerly; previous,yǐ qián
特别,special; especially; particular,tè bié
而且,moreover; in addition; as well as,ér qiě
或者,or; possible; maybe; perhaps,huò zhě
习惯,habit; be accustomed to; usual practice,xí guàn
秋,autumn; fall; harvest time,qiū
比较,compare; contrast; relatively,bǐ jiào
瘦,thin; tight; lean,shòu
半,half; semi-; incomplete,bàn
忘记,forget,wàng jì
马,horse (Kangxi radical 187),mǎ
疼,ache; sore; (it) hurts; love fondly,téng
决定,decide; resolve,jué dìng
故事,story; tale,gù shi
差,differ from; fall short of; poor; inferior,chà
接,connect; to meet; to pick up (somebody); to receive,jiē
西,West (Kangxi radical 146),xī
班,team; class; squad,bān
国家,country; state; nation,guó jiā
其他,other; else,qí tā
明白,clear; obvious; understand; explicit,míng bai
结婚,get married,jié hūn
音乐,music,yīn yuè
腿,leg,tuǐ
脚,foot (body part),jiǎo
遇到,to meet; run into; come across,yù dào
离开,leave; depart,lí kāi
画,draw; picture; painting,huà
春,spring (season); joyful,chūn
欢迎,to welcome; greet,huān yíng
楼,story; floor; (multi-story) building,lóu
愿意,be willing; want to; be ready,yuàn yì
冬,winter,dōng
久,long (time),jiǔ
鸟,bird (Kangxi radical 196),niǎo
除了,besides; except for; aside from; in addition to,chú le
结束,to end; to finish; conclude,jié shù
一般,general; ordinary; common; same,yì bān
了解,comprehend; understand; know; find out,liǎo jiě
段,paragraph; segment; section,duàn
要求,to request; to demand; requirement,yāo qiú
认为,believe; think that,rèn wéi
经常,often; frequently; daily,jīng cháng
试,to try; to test; examination,shì
草,grass; straw; draft (of a document),cǎo
马上,at once; immediately; right away,mǎ shàng
胖,fat; plump,pàng
新闻,news,xīn wén
影响,influence; affect; effect,yǐng xiǎng
头发,hair (on the head),tóu fa
礼物,gift; present,lǐ wù
文化,culture; civilization,wén huà
感冒,catch cold; (common) cold,gǎn mào
声音,sound; voice,shēng yīn
教,teach; instruct | religion; teaching,jiāo | jiào
关系,relation; to concern,guān xi
当然,of course; naturally,dāng rán
坏,bad; broken,huài
嘴,mouth,zuǐ
小心,be careful,xiǎo xīn
解决,settle (a dispute); resolve; solve,jiě jué
经过,to pass; go through; as a result of,jīng guò
年轻,young,nián qīng
东,East,dōng
蓝,blue,lán
办法,method; way (of doing something),bàn fǎ
清楚,clear; distinct; be clear about,qīng chu
太阳,the sun,tài yáng
害怕,afraid of; to fear,hài pà
碗,bowl; cup,wǎn
后来,afterwards; after; later,hòu lái
难过,be grieved; be sad; have a hard time,nán guò
节目,program; item (on a program),jié mù
多么,"how (wonderful, etc.); what (a great idea)",duō me
历史,history,lì shǐ
环境,environment; surroundings,huán jìng
舒服,comfortable; feeling well,shū fu
认真,serious; earnest; take seriously,rèn zhēn
树,tree,shù
帮忙,to help,bāng máng
关心,concerned about/with,guān xīn
同事,colleague; co-worker,tóng shì
一边,one side; on the one hand; at the same time,yì biān
刚才,just now; a moment ago,gāng cái
极,an extreme; pole; very,jí
蛋糕,cake,dàn gāo
聪明,intelligent; clever; bright; smart,cōng ming
银行,bank,yín háng
关于,about; regarding; concerning,guān yú
地铁,subway,dì tiě
层,"(mw for layers, floors of buildings)",céng
回答,to reply; to answer,huí dá
灯,lamp; light,dēng
比赛,(sports) match; competition,bǐ sài
主要,main; principal; major,zhǔ yào
关,to close; shut; concern; relationship; turn off; mountain pass,guān
生气,angry; mad,shēng qì
南,South,nán
作业,school assignment; homework; task,zuò yè
同意,agree; to consent; approve,tóng yì
辆,(mw for vehicles),liàng
上网,to surf the web; to go online,shàng wǎng
甜,sweet,tián
矮,short; low,ǎi
绿,green,lǜ
洗澡,bathe; take a bath or shower; bath or shower,xǐ zǎo
聊天,to chat,liáo tiān
照顾,take care of; look after; give consideration,zhào gu
安静,quiet; peaceful; calm,ān jìng
方便,convenient,fāng biàn
奶奶,grandma; (informal) paternal grandmother,nǎi nai
船,a boat; vessel; ship,chuán
新鲜,"fresh (experience, food, etc.); new; novel",xīn xiān
动物,animal,dòng wù
借,lend; borrow; excuse,jiè
干净,clean; neat and tidy,gān jìng
饱,eat until full; satisfied,bǎo
数学,mathematics,shù xué
热情,cordial; warm; enthusiastic,rè qíng
提高,to raise; heighten; improve,tí gāo
司机,driver; chauffeur,sī jī
变化,change,biàn huà
奇怪,strange; odd,qí guài
办公室,office,bàn gōng shì
打算,to plan; intend,dǎ suàn
几乎,almost,jī hū
水平,level; standard; horizontal,shuǐ píng
旧,old; past; used,jiù
夏,summer,xià
月亮,the moon,yuè liang
骑,to ride (an animal or bike); to sit astride,qí
中间,center; middle; between; among,zhōng jiān
附近,(in the) vicinity; nearby; neighboring,fù jìn
根据,according to; based on; basis,gēn jù
节日,holiday; festival,jié rì
成绩,achievement; success; results (of work or study),chéng jì
见面,meet/see somebody; meeting,jiàn miàn
香蕉,banana,xiāng jiāo
复习,revise; to review,fù xí
阿姨,auntie; step-mother; mother's younger sister,ā yí
迟到,arrive late,chí dào
放心,relax; feel relieved; rest assured,fàng xīn
中文,Chinese (language),zhōng wén
爷爷,(informal) father's father; paternal grandfather,yé ye
耳朵,ear,ěr duo
裤子,pants; trousers,kù zi
满意,satisfied; pleased,mǎn yì
一会儿,a while; a moment,yí huì r
面包,bread,miàn bāo
检查,to check; examine; inspect,jiǎn chá
鼻子,nose,bí zi
帽子,hat; cap,mào zi
季节,season; time; period,jì jié
会议,meeting; conference,huì yì
啤酒,beer,pí jiǔ
叔叔,(informal) father's younger brother; uncle,shū shu
体育,physical training; sports,tǐ yù
角,horn; angle; unit of money (1/10 yuan); corner (Kangxi radical 148) | role (theater),jiǎo | jué
锻炼,to exercise; work out; toughen; to temper,duàn liàn
饮料,beverage; drink,yǐn liào
公园,public park,gōng yuán
图书馆,library,tú shū guǎn
冰箱,refrigerator,bīng xiāng
搬,to move; to transport,bān
衬衫,shirt; blouse,chèn shān
熊猫,panda,xióng māo
刻,quarter (hour); (mw for short time intervals); carve; to cut,kè
伞,umbrella; parasol,sǎn
笔记本,notebook,bǐ jì běn
自行车,bike; bicycle,zì xíng chē
电梯,elevator,diàn tī
空调,air conditioning,kōng tiáo
经理,manager; director,jīng lǐ
裙子,skirt,qún zi
练习,practice; exercise,liàn xí
着急,to worry; feel anxious,zháo jí
爱好,hobby; fond of; to like; interest,ài hào
筷子,chopsticks,kuài zi
信用卡,credit card,xìn yòng kǎ
校长,"principal (of school, college or university); president; headmaster",xiào zhǎng
留学,study abroad,liú xué
